iteration	energy	residual_norm
326	-7.335685e+01	1.555468e-04
327	-7.335685e+01	8.732110e-04
328	-7.335685e+01	1.844971e-04
329	-7.335685e+01	3.247289e-03
330	-7.335685e+01	6.334123e-03
331	-7.335685e+01	9.164592e-03
332	-7.335685e+01	1.543290e-01
333	-7.335685e+01	4.273366e-03
334	-7.335686e+01	3.958502e-04
335	-7.335686e+01	8.889716e-04
336	-7.335686e+01	1.205712e-03
337	-7.335686e+01	1.597999e-03
338	-7.335686e+01	1.008973e-04
339	-7.335686e+01	1.826332e-05
340	-7.335686e+01	1.349542e-04
341	-7.335686e+01	1.169698e-04
342	-7.335686e+01	1.699954e-03
343	-7.335686e+01	1.248075e-03
344	-7.335686e+01	7.145255e-04
345	-7.335686e+01	1.730868e-03
346	-7.335686e+01	1.526966e-04
347	-7.335686e+01	8.984901e-05
348	-7.335686e+01	5.831948e-04
349	-7.335686e+01	1.060699e-03
350	-7.335686e+01	2.187613e-03
351	-7.335686e+01	1.322082e-02
352	-7.335686e+01	1.487421e-04
353	-7.335686e+01	6.027416e-04
354	-7.335686e+01	1.481387e-04
355	-7.335686e+01	1.143441e-03
356	-7.335686e+01	9.067216e-05
357	-7.335686e+01	3.448804e-04
358	-7.335725e+01	1.607681e-02
359	-7.335725e+01	2.406878e-03
360	-7.335725e+01	4.143772e-03
361	-7.335725e+01	4.940125e-04
362	-7.335725e+01	3.371918e-03
363	-7.335726e+01	3.934712e-03
364	-7.335726e+01	3.791550e-02
365	-7.335726e+01	2.573017e-04
366	-7.335726e+01	4.465455e-03
367	-7.335726e+01	6.233603e-03
368	-7.335726e+01	3.204973e-04
369	-7.335728e+01	2.644086e-02
370	-7.335728e+01	2.379022e-02
371	-7.335728e+01	1.647862e-03
372	-7.335728e+01	2.978215e-02
373	-7.335728e+01	3.455993e-02
374	-7.335728e+01	4.445260e-04
375	-7.335728e+01	4.746840e-03
376	-7.335728e+01	3.118599e-04
377	-7.335734e+01	6.404194e-02
378	-7.335734e+01	9.350727e-02
379	-7.335734e+01	1.646740e-03
380	-7.335734e+01	1.697680e-03
381	-7.335734e+01	9.162616e-03
382	-7.335734e+01	1.455606e-03
383	-7.335734e+01	2.783419e-01
384	-7.335734e+01	1.504772e-01
385	-7.335736e+01	1.465219e-03
386	-7.335736e+01	2.019035e-02
387	-7.335736e+01	7.691723e-05
388	-7.335736e+01	5.185421e-03
389	-7.335736e+01	7.937296e-02
390	-7.335736e+01	3.032397e-03
391	-7.335736e+01	1.314506e-04
392	-7.335736e+01	2.256863e-04
393	-7.335736e+01	1.329385e-03
394	-7.335736e+01	2.752199e-04
395	-7.335736e+01	6.940535e-04
396	-7.335736e+01	1.161204e-03
397	-7.335736e+01	5.821518e-02
398	-7.335736e+01	2.090747e-03
399	-7.335736e+01	3.971699e-02
400	-7.335736e+01	2.269832e-02
401	-7.335736e+01	1.230033e-03
402	-7.335736e+01	2.947875e-05
403	-7.335736e+01	4.063009e-04
404	-7.335736e+01	4.399593e-03
405	-7.335736e+01	4.781036e-05
406	-7.335736e+01	7.264881e-05
407	-7.335736e+01	6.888823e-04
408	-7.335736e+01	5.290205e-02
409	-7.335736e+01	3.594754e-03
410	-7.335736e+01	2.241374e-04
411	-7.335736e+01	4.450980e-04
412	-7.335736e+01	7.066111e-05
413	-7.335736e+01	6.929081e-05
414	-7.335736e+01	3.829346e-03
415	-7.335736e+01	2.752680e-03
416	-7.335740e+01	9.559425e-03
417	-7.335740e+01	1.238669e-02
418	-7.335747e+01	1.186650e-02
419	-7.335747e+01	3.206920e-02
420	-7.335747e+01	3.546281e-02
421	-7.335747e+01	7.630910e-03
422	-7.335747e+01	2.265388e-03
423	-7.335747e+01	5.890002e-05
424	-7.335747e+01	1.042509e-02
425	-7.335747e+01	1.035813e-01
426	-7.335747e+01	1.761884e-03
427	-7.335791e+01	2.484805e-01
428	-7.335792e+01	1.056210e-02
429	-7.335792e+01	5.194088e-02
430	-7.335792e+01	6.906677e-03
431	-7.335792e+01	1.157390e-02
432	-7.335792e+01	7.716130e-04
433	-7.335792e+01	5.965265e-01
434	-7.335793e+01	5.958389e-03
435	-7.335793e+01	4.680821e-03
436	-7.335795e+01	1.219132e+00
437	-7.335796e+01	1.767880e-03
438	-7.335798e+01	1.578175e-01
439	-7.335798e+01	3.541314e-02
440	-7.335798e+01	1.637885e-02
441	-7.335800e+01	1.801669e-02
442	-7.335800e+01	4.586443e-02
443	-7.335801e+01	2.490384e-02
444	-7.335803e+01	1.581446e-02
445	-7.335803e+01	3.789491e-03
446	-7.335803e+01	2.143262e-03
447	-7.335816e+01	3.492973e-01
448	-7.335816e+01	1.496946e-04
449	-7.335816e+01	2.026257e-03
450	-7.335816e+01	1.926865e-02
451	-7.335816e+01	1.414197e-03
452	-7.335816e+01	3.387256e-03
453	-7.335816e+01	2.404222e-02
454	-7.335816e+01	2.085477e-04
455	-7.335816e+01	4.813874e-04
456	-7.335816e+01	3.756455e-03
457	-7.335816e+01	1.477264e-04
458	-7.335816e+01	2.331672e-03
459	-7.335816e+01	1.001948e-04
460	-7.335816e+01	3.783370e-03
461	-7.335816e+01	1.798792e-01
462	-7.335816e+01	1.551078e-03
463	-7.335816e+01	4.555903e-04
464	-7.335816e+01	8.254714e-03
465	-7.335816e+01	1.526106e-04
466	-7.335816e+01	1.164868e-04
467	-7.335816e+01	2.205241e-02
468	-7.335816e+01	6.134318e-05
469	-7.335816e+01	8.711409e-03
470	-7.335816e+01	8.656460e-04
471	-7.335816e+01	1.108069e-04
472	-7.335816e+01	3.797978e-02
473	-7.335816e+01	2.348150e-03
474	-7.335816e+01	7.994479e-03
475	-7.335816e+01	1.855678e-01
476	-7.335817e+01	7.596194e-02
477	-7.335817e+01	8.684523e-04
478	-7.335817e+01	4.065644e-02
479	-7.335817e+01	1.468261e-04
480	-7.335817e+01	1.290191e-03
481	-7.335817e+01	4.002918e-03
482	-7.335817e+01	2.471270e-04
483	-7.335817e+01	7.501086e-04
484	-7.335817e+01	2.298635e-05
485	-7.335817e+01	1.911333e-04
486	-7.335817e+01	5.599955e-05
487	-7.335817e+01	3.869686e-05
488	-7.335817e+01	4.040882e-05
489	-7.335817e+01	1.346764e-02
490	-7.335817e+01	2.233501e-02
491	-7.335817e+01	8.222072e-05
492	-7.335817e+01	8.728343e-05
493	-7.335817e+01	1.922738e-04
494	-7.335817e+01	6.859089e-02
