iteration	energy	residual_norm	L2-error	H1-error
1220	-7.336022e+01	6.531484e-05	1.604034e-02	8.820507e-02
1230	-7.336022e+01	3.302387e-04	1.597733e-02	8.813926e-02
1240	-7.336023e+01	1.253984e-02	1.636766e-02	8.812976e-02
1250	-7.336024e+01	6.903445e-02	1.605370e-02	8.788180e-02
1260	-7.336026e+01	9.505600e-02	1.620781e-02	8.819337e-02
1270	-7.336027e+01	1.870505e-04	1.600562e-02	8.821687e-02
1280	-7.336027e+01	8.095636e-04	1.599590e-02	8.820978e-02
1290	-7.336027e+01	5.096908e-03	1.596496e-02	8.813720e-02
1300	-7.336027e+01	2.871506e-03	1.595961e-02	8.808981e-02
1310	-7.336027e+01	2.338123e-03	1.590767e-02	8.808794e-02
1320	-7.336027e+01	1.226207e-03	1.594222e-02	8.811387e-02
1330	-7.336027e+01	1.547865e-02	1.601477e-02	8.814376e-02
1340	-7.336027e+01	2.238924e-05	1.593700e-02	8.810547e-02
1350	-7.336027e+01	1.688858e-03	1.581194e-02	8.805199e-02
1360	-7.336028e+01	1.921871e-03	1.595465e-02	8.814502e-02
1370	-7.336028e+01	3.251560e-04	1.595442e-02	8.814569e-02
1380	-7.336028e+01	5.492225e-02	1.609989e-02	8.825949e-02
1390	-7.336030e+01	4.372297e-03	1.640133e-02	8.840450e-02
1400	-7.336033e+01	4.147242e-04	1.593240e-02	8.838307e-02
1410	-7.336033e+01	2.348644e-02	1.592759e-02	8.838900e-02
1420	-7.336049e+01	3.469124e-04	1.596960e-02	8.932552e-02
1430	-7.336049e+01	1.621417e-04	1.596719e-02	8.932169e-02
1440	-7.336049e+01	4.045968e-02	1.593533e-02	8.925101e-02
1450	-7.336050e+01	1.209259e-03	1.643427e-02	8.952044e-02
1460	-7.336051e+01	1.568639e-04	1.620212e-02	8.949261e-02
1470	-7.336052e+01	1.820490e-03	1.606206e-02	8.984293e-02
1480	-7.336056e+01	7.605608e-03	1.632096e-02	9.017465e-02
1490	-7.336060e+01	5.087747e-04	1.620737e-02	9.022204e-02
1500	-7.336063e+01	1.880185e-02	1.605658e-02	9.031561e-02
1510	-7.336065e+01	1.679492e-04	1.599238e-02	9.040012e-02
1520	-7.336065e+01	4.431479e-04	1.599206e-02	9.039834e-02
1530	-7.336065e+01	1.637984e-05	1.596808e-02	9.037604e-02
1540	-7.336065e+01	6.845690e-03	1.613151e-02	9.044080e-02
1550	-7.336066e+01	2.012203e-03	1.602558e-02	9.044401e-02
1560	-7.336066e+01	1.615340e-03	1.603032e-02	9.046693e-02
1570	-7.336066e+01	2.921247e-04	1.603790e-02	9.049719e-02
1580	-7.336066e+01	3.543204e-04	1.610380e-02	9.079760e-02
1590	-7.336066e+01	1.644468e-04	1.613640e-02	9.094073e-02
1600	-7.336067e+01	6.933243e-03	1.626871e-02	9.090683e-02
1610	-7.336067e+01	7.441857e-04	1.588660e-02	9.057272e-02
1620	-7.336067e+01	2.691447e-03	1.591815e-02	9.075808e-02
1630	-7.336067e+01	2.461001e-02	1.613700e-02	9.090423e-02
1640	-7.336068e+01	6.468971e-05	1.613408e-02	9.090306e-02
1650	-7.336068e+01	2.987045e-04	1.614006e-02	9.090292e-02
1660	-7.336067e+01	1.778105e-03	1.612523e-02	9.089172e-02
1670	-7.336068e+01	7.757862e-03	1.612280e-02	9.092099e-02
1680	-7.336068e+01	4.917241e-05	1.613107e-02	9.093915e-02
1690	-7.336068e+01	4.688955e-03	1.627813e-02	9.099571e-02
1700	-7.336069e+01	4.772173e-04	1.609057e-02	9.091716e-02
